POLA1	1.40343e+07	
SMG7	1.38534e+07	
SLIT2	1.38528e+07	
UTP14A	1.37436e+07	
BCL2L1	1.34852e+07	
CCT5	1.33833e+07	
BUB1B	1.33053e+07	
PRMT5	1.32915e+07	
SOX2	1.31677e+07	
CASP2	1.30643e+07	
PIK3CB	1.30563e+07	
GMPS	1.30186e+07	
RAG1	1.29318e+07	
LRP5	1.29298e+07	
PSME4	1.27957e+07	
FANCM	1.27553e+07	
STAG2	1.27219e+07	
CFH	1.26975e+07	
NEDD4	1.26702e+07	
ESPL1	1.26323e+07	
B2M	1.26084e+07	
AGO1	1.25617e+07	
RPL5	1.25374e+07	
CDK8	1.25123e+07	
UBB	1.24614e+07	
ERCC2	1.23886e+07	
TRIM25	1.23526e+07	
CYCS	1.23073e+07	
PDGFRB	1.23021e+07	
SUPT5H	1.22226e+07	
DNAJB1	1.21278e+07	
CDKN1A	1.20848e+07	
MRE11	1.1989e+07	
SMARCB1	1.19285e+07	
CCDC8	1.19125e+07	
NUP155	1.18596e+07	
HNRNPC	1.17626e+07	
NTRK2	1.16629e+07	
CCNE1	1.16474e+07	
DOCK2	1.15749e+07	
EHMT2	1.15227e+07	
FLT4	1.13124e+07	
NOS2	1.12561e+07	
NUP98	1.12259e+07	
PIK3C3	1.12225e+07	
KDM4A	1.11249e+07	
SUPT6H	1.11081e+07	
STAT6	1.10818e+07	
EPAS1	1.10774e+07	
MAP3K5	1.10742e+07	
CCT7	1.09628e+07	
CPS1	1.09223e+07	
HSPG2	1.07478e+07	
RING1	1.06209e+07	
PIAS2	1.05059e+07	
HDAC2	1.04781e+07	
NCOA3	1.0452e+07	
REV3L	1.04213e+07	
MAPT	1.03753e+07	
RICTOR	1.02642e+07	
CDK4	1.02612e+07	
HDAC6	1.02513e+07	
DNMT3B	1.02455e+07	
PTCH1	1.0235e+07	
FAS	1.01869e+07	
ABCC9	1.0002e+07	
SF3B2	9.95847e+06	
HLA-A	9.95716e+06	
DCAF1	9.86073e+06	
FOXO1	9.8414e+06	
CASP9	9.71348e+06	
EPHA2	9.65509e+06	
RPA1	9.61606e+06	
ATF7IP	9.58248e+06	
DOT1L	9.55799e+06	
PRPF8	9.51684e+06	
TAF6	9.50308e+06	
G3BP1	9.4948e+06	
C3	9.34794e+06	
TLR7	9.29722e+06	
BUB1	9.179e+06	
SMARCC1	9.07981e+06	
ITGB4	9.0562e+06	
CCT2	9.00711e+06	
GPC3	8.9988e+06	
DPYD	8.79421e+06	
MSH2	8.77157e+06	
IL6	8.73977e+06	
RFC4	8.73448e+06	
AGT	8.69097e+06	
PIAS1	8.6822e+06	
MYLK	8.6776e+06	
ACTL6A	8.60901e+06	
