TCGA-B2-3924	VHL,PBRM1,LRRCC1,PKHD1,NEB,FCGBP
TCGA-B0-4710	TP53,DNAH17,SETD2,AHNAK2,ABCA13,USH2A
TCGA-A3-3320	ARID1A,PBRM1,TTN,DNAH17,FREM2,HERC1,MAST4,BCORL1,FLG,CSMD1,FLRT2
TCGA-B8-5550	EP300,NOTCH2,TTN,DNAH8,ROS1,FAT1,AKAP9,FLG,BAP1
TCGA-CZ-5466	HSPA8,STAG2,RANBP2,PBRM1,KIAA1549L
TCGA-A3-3363	NOTCH2,DNAH7,CNOT1,CUBN,LRRCC1,ADAMTS12,OBSCN
TCGA-A3-3367	ROCK1,COL6A3,VHL,COL6A6,SETD2,DNAH3,PBRM1
TCGA-BP-4983	RYR3,LRP1,SETD2,ABCA13,HERC2,VPS13C,RALGAPA1,SPEN,MUC17
TCGA-CJ-4920	RYR2,FN1,COL6A3,NOTCH2,VHL,TTN,LRP2,SETD2,PTPRZ1,PBRM1,QSER1,HIVEP1,KIAA1549L
TCGA-CW-5587	LAMA4,VHL,AFDN,BCORL1,MACF1,CHD7
TCGA-CJ-4634	ROCK1,LAMB1,VHL,PBRM1,DYNC1H1,CUBN,ABCA8,FLG,OBSCN,SACS,LRP1B
TCGA-CW-5588	VHL,ESPL1,MYO16,XIRP2,PKHD1L1
TCGA-CZ-4863	TNR,AHNAK,ABCA13,KIAA1549L,FAT1,XIRP2,MUC16
TCGA-A3-3380	MTOR,GRIN2B,VHL,ANK2,TTN,PCLO
TCGA-CJ-5678	PBRM1,KMT2C,SYNE1
TCGA-CZ-5468	TLN2,RELN,TNR,UBR4,PCLO,USP34,DIP2C
TCGA-CZ-5986	ATM,VHL,PBRM1,KMT2C,HMCN1
TCGA-A3-3387	GRIN2B,PBRM1,PCLO,ABCA13,ROS1
TCGA-A3-A6NJ	ERBB4,LRP1,PBRM1,CUBN,DST,KIAA1549L,ADGRG4
TCGA-BP-5198	VHL,TTN,PBRM1,FBN1,SETD2,HERC1,MACF1,KIAA1549L,CSMD3,XIRP2,FAT3,PEG3
TCGA-B0-5100	MTOR,RYR2,RYR1,TTN,MAP3K4
TCGA-A3-3331	COL4A5,VHL,PBRM1,LRP2,DYNC1H1,DCHS2,KIAA1549L,CSMD3
TCGA-CJ-4912	NOTCH2,VHL,ARID1A,TTN,PBRM1,NSD1,IGF2R,WDFY3,KCNH7
TCGA-B8-4622	ATM,BRCA2,VHL,PRKDC,PBRM1,SETD2,DNAH17,PCLO,WDFY3,SPHKAP,THSD7B,ZNF800,ZFHX4,PKHD1,CSMD1
TCGA-A3-A8CQ	BRCA2,DNAH7,FBN3,XIRP2
TCGA-B8-5159	LAMA4,VHL,PATJ,CNOT1,ADGRV1
TCGA-B8-4151	KMT2D,PBRM1,ATRX,USH2A,BAP1
TCGA-BP-5008	ABCA1,FAT4,DNAH7,CELSR1,RALGAPA1
TCGA-BP-4987	ATM,RYR1,SYNE2,CSMD3
TCGA-BP-5173	ATM,TTN,HMCN1,FBN2,SPHKAP,ADGRV1,SVEP1,MUC17
TCGA-B0-5709	CACNA1S,COL4A5,VHL,ARID1A,STAG2,TTN,IGF2R,DNAH9,SACS,MYCBP2,ADGRV1,BAP1
TCGA-BP-5180	VHL,PRKDC,PBRM1
TCGA-B0-5092	TP53,VHL,RELN,TTN,BIRC6,FAT4,AHNAK2,RGS3,LRP1B,BAP1,SCAF4,NEB,MUC16
TCGA-B4-5377	TNC,SMARCA4,PBRM1,TTN,DNAH3,WDFY3
TCGA-BP-4974	RYR3,PRKDC,PKHD1L1
TCGA-BP-5001	MTOR,LAMA4,SPTA1,DNAH11,KCNH7,FLRT2
TCGA-6D-AA2E	HSPA8,LRP2,MACF1,DST
TCGA-AK-3458	VHL,PBRM1,HERC2,KDM5C,RALGAPA1,PEG3
TCGA-T7-A92I	BRCA2,ANK2,TTN,PTPRZ1,NPHP3
TCGA-B8-5163	VHL,DNAH17,BIRC6,COL24A1,AHNAK2,FBN2,MEGF10
TCGA-BP-4161	TTN,ANK3,LRP2,SETD2,PCLO,PBRM1,LRRCC1,USH2A,FBN3,PCDH15,BAZ2B,MUC16
TCGA-A3-3323	RELN,PBRM1,DNAH10,USH2A,KDM5C,ZNF800,MUC17
TCGA-B8-5158	PTEN,EP300,PBRM1,UBR4,PRPF8,MYH2,DIP2C,SPEN,FLG
TCGA-BP-4167	TTN,SPTA1,SYNE1,CELSR1,MEGF10,LRP1B,MUC16
TCGA-AS-3777	AHNAK,FREM2,MYO16,MYH2
TCGA-BP-4163	DNAH17,MYCBP2,BAP1,FAT3
TCGA-B0-5084	NSD1,DOCK4,TACC2
TCGA-CZ-5457	THBS1,RYR1,ERBB4,KMT2D,FBN2,ATRX,PEG3
