TF	Target
BRD2	PCBD2
XBP1	TM2D3
VSX2	LINC02906
GTF2I	ZNF696
E2F3	SREBF2
SRF	UBE2O
SPI1	HLA-B
ATF1	SCYL3
JUND	SCARNA12
KLF5	FAM167A
NFIC	FKBP3
IRF1	GANC
MYH11	RNU6-24P
HDAC1	ITGB2
ASCL1	GLYCTK-AS1
CEBPA	OR10AD1
UBTF	BCR
FOXD2	ITPK1-AS1
ATF3	DAPK2
ELF2	TEK
KLF5	COMMD4
HCFC1	PRR7
NR2F2	LCA5L
ZNF263	RAB11FIP3
HDAC2	CHSY3
SNAI2	CATSPERG
RAD21	ALDH7A1
MAZ	ZSCAN21
KAT5	MIR6515
KLF4	MIR1234
CEBPB	RNY4P20
SREBF1	ILF3
CHD1	BRMS1
NR2F2	LMNTD2
LMNB1	MAPKAPK2
FOXA1	SNRPCP3
ZNF263	CD99
TFAP2C	TRPV1
MNT	LEKR1
TCF3	SNORA11
NR2F2	SLAMF9
FOSL1	HOXA-AS3
CREB1	NTN5
CEBPB	BFAR
EP300	CSRNP1
STAT4	RAD54L2
HDAC1	YTHDF1
KLF4	TMEM167B
KDM4C	EIF4A1
ETS1	SCLT1
ATF1	INPP1
KDM5B	GRIN1
MYH11	NIFK
NRIP1	MXD3
MED12	CDPF1
NFIC	HDGF
CREB1	NPDC1
ATF3	BPHL
SUMO2/SUMO3	KSR2
KLF5	MIR6740
GRHL2	RNU7-54P
SMC1A	MUC5B
STAT1	FUT8
ICE2	BEST4
HNF4A	RMND5A
E2F6	MRPL43
BRD2	LGR4
YY1	VLDLR-AS1
SP1	AGO4
EP300	ZNF180
MAX	TMPPE
GTF2B	UBA2
RBCK1	DNM2
FOSL2	SAP25
GABPA	MNT
TCF3	TMEM132E-DT
FOXA1	UGGT2
GRHL2	DESI2
RCOR1	CNTNAP1
TCF12	CCDC88B
SP1	CBLB
NFYA	ATP13A2
RXRG	NPC1
PBX3	SNORD111B
MED12	STK38
ETS1	GNRH2
WDR5	GNG3
TFAP2A	PPP1R14A
TFAP4	ANKRD9
HDAC1	HNRNPR
FLI1	MAP7
FOXP1	PRDM16
BRD2	OARD1
NFYA	FTH1
ARNT	GCHFR
ERG	ST7
NKX2-1	DUSP28
SREBF1	SSNA1
SRC	PXMP4
JUND	TCIRG1
ETS1	TMOD3
UBN1	RBMS1
LMNB1	POLL
ETS1	RPL31P2
BRD4	PDHA1
SUMO2/SUMO3	MIR3189
TFAP2A	SDK2
YY1	LCP1
MNT	FEZ2
FLI1	IRAK1
AHR	TTC34
JUND	AGRP
E2F1	SORBS1
USF1	SLC44A2
SIX5	BCL9L
TOPORS	ATOH8
RNF2	ZBTB47
TFAP2A	IDH1
FOS	RC3H2
LMNB1	ICE2
CTBP2	MAMSTR
TFAP2C	PPP1R36
BHLHE40	DPM1
GATA3	LINC00870
VEZF1	DBP
RAD21	TPM1
EWSR1	MIR23A
HDAC2	ITGB1BP2
FOXA2	SFTPC
FOSL1	PLEKHA8
UBN1	ANKRD28
PML	BTD
CEBPA	H2AC19
XBP1	ATF6B
ETS1	MIR3650
KLF3	MSH5
FLI1	LIPA
NFE2	VAMP5
NOTCH1	TSPAN4
EP300	TXN2
NRIP1	ARID5B
KLF4	KCTD7
HDAC1	NUDT2
EGR1	MIR429
E2F1	SNX30
FOS	DCTN4
MYOD1	RN7SL812P
EBF1	GMDS
LMNB1	FAM167B
STAT6	PRKD1
GRHL2	ELK4
GATA1	DYNC2H1
ATF7	CLDN6
CDK9	ZNRF2P2
CDK9	WDR83
TFAP2C	PLEKHA7
EGR3	LRP10
KLF5	PCIF1
GATA3	EHBP1
FOS	STRN3
MAZ	ERVK3-1
LMNB1	FGF8
FOXA2	SKIL
KLF4	PCAT6
SP1	MYLK-AS1
SUMO2	NOD2
NFIC	GABARAPL2
MAX	LINC00322
HCFC1	CCAR2
GATA2	CTSA
ETS1	SNORA52
CEBPB	MIR3611
ATF3	RPF2
STAG1	BLVRB
FOXA1	FIGNL2
SRF	PFKFB4
CDK9	NFAT5
TFAP2C	APOL1
ERG	ZFYVE16
SMC1A	CTR9
FOXJ2	SUPT7L
ZEB1	KCTD9P3
ARNT	STK10
ASCL2	DPH1
ATF1	CYTH1
ETS1	DDX50
CREB1	NEMF
SMC3	GSTO1
ZNF263	CDK18
UBTF	U2AF2
EGR1	SNORD73B
MAZ	APOL6
EBF1	ST14
CBX8	DONSON
ETS1	MEMO1P1
E2F1	OSBPL5
NR2F2	GAD1
RAD21	MICALL2
GMEB1	RPS15
BRD2	GPLD1
ATF2	USP9X
KLF5	TNRC6B
SIN3A	PRSS36
ETS2	PACRG
BRD4	SNORD55
FOXA1	PLCD1
CEBPD	DXO
SMARCA4	UBE2G2
MED12	SLC1A5
SPIB	IRF7
PPARG	MYO15A
CTCF	LRCH3
NR2F2	ELAC2
HNF1B	EGOT
SPIB	ELL2P1
SIX5	ZMAT2
BCOR	RNU6-8
TBP	SETD1A
ETS1	PPM1G
RYBP	MIDN
GTF2I	SNORD22
POU2F2	RMRP
DDX5	ING5
SPI1	IQCF2
EP300	C2orf68
SP1	FOXJ1
CBX8	ACTR3
SMARCC1	FMO5
CEBPB	HNRNPA1P59
HCFC1	THBS3
USF2	DNAJC8
LMNB1	ATAD3B
TCF3	LTBP3
PHF8	NDUFAF3
FOXA2	MIR6891
STAT5B	AUNIP
NFE2	ACADVL
KDM4C	ZNF276
ATF3	TMEM134
CTCF	RNU6-841P
SPIB	CHCHD6
ZBTB7A	MAPK8IP3
SMARCC1	RNF43
WDR5	PLEKHB1
FOXM1	MT-TE
BACH2	SPRED2
NKX6-1	BALR6
TBL1X	IP6K1
USF1	UBE2O
ESR2	HMGB3P2
BRD4	RAB24
BRD2	RNU2-37P
NOTCH1	DOHH
TFAP4	TMEM100
ATF3	MICAL2
KLF5	GPAA1
TFAP2C	MIR3176
EBF1	BATF3
BRD4	IL34
BMI1	SRP9
GMEB2	CD320
GRHL3	CANX
EP300	TMEM216
FLI1	HDAC4
REST	ANK1
CTCF	RET
ELK4	TRABD2A
BACH2	E2F3
TP63	NDRG2
DDIT3	KLF3-AS1
RUNX1T1	ADCK5
KLF5	DZANK1
USF2	YOD1
KLF9	FER1L5
ZNF263	HAPLN2
HDAC1	NDUFB3
FLI1	UXT-AS1
BRD2	DAW1
MAZ	ADIRF-AS1
SOX9	MLLT11
KDM5B	SLC34A1
FOXA1	MYO10
CDK9	MGAT3
TFAP2C	NTNG1
CEBPD	SLC16A9
SPI1	ANO6
RAD21	MIR4504
ASCL1	MIR4319
SUMO1	OTUD3
NFYB	GXYLT1
ETS1	VPS37D
USF2	CGN
FLI1	GOLM1
ZBTB7A	MOV10L1
USF1	WDR62
TAF3	SUV39H1
SMARCB1	MIR7-2
CUX1	CRMP1
NFIC	RN7SL704P
UBTF	PPIL2
STAG1	YARS2
CTCF	RASGRP2
TFAP2A	TMED5
SMC1A	UBE2C
LMO2	CAPN10
ATF7	CSNK1A1
MXI1	SLC7A6OS
KLF4	TTC21B
MEF2A	RPS6KA5
KLF1	RRAS
GATA1	RN7SL788P
HNF4G	NQO2
ETS1	ZMYM6
JUND	TTYH3
TCF3	EFCC1
STAG1	FAM174B
NFIC	MAP3K14-AS1
ZC3H8	JUNB
SRF	ZBED5-AS1
POU3F3	DACT3-AS1
KLF9	BCL3
IRF1	VPS28
SRF	PPIF
GABPA	NCMAP
MYOD1	BEST2
MAZ	SNHG22
GATA1	THUMPD3
FOXA2	RALGAPA1
SMC1A	ZC3H18
PBX3	PKD1
CDK9	AP1G2
RELA	IFNA17
L3MBTL2	MAPK1
MNT	CHMP4A
ELF1	DECR1
CTCF	SMARCC1
FOXA1	STOM
CREB1	GIMAP8
USF2	HRC
MYH11	HNRNPA1P59
BRD2	ZNF706
NR2F2	HMGN2P17
CTCF	DYSF
NFYA	NPB
CEBPB	CHCHD2P4
TFAP4	SERPINF2
PBX3	DUSP4
STAT5B	BCAR3-AS1
CBX8	SLC19A1
RAD21	PHF12
EZH1	TMEM138
MIF	MGMT
HOXA1	SERPINB8
FOS	SMIM22
POU3F2	EFCAB7
KLF4	MBTD1
LYL1	PRKAG1
NR2F2	HIGD1B
GRHL3	DMPK
NKX6-1	ALOX12B
GATA1	AK4P6
ETS1	SIRT3
ZNF384	MIR1228
TBP	BAIAP3
PRKDC	TP53BP2
PHF8	GNA13
UBTF	PAK1
BRD4	CALML6
CDK8	FLNB
FOXA2	LRRC58
NFYA	TBKBP1
XBP1	GDF15
BATF	TRAJ8
FOXA2	LRRC36
SPI1	ZFYVE27
CREB1	RANBP10
CDK9	DEF6
NKX2-1	SNHG16
ETS1	RNU6-362P
E2F2	AHDC1
BRCA1	ROM1
USF2	NRSN2
SP4	TUBB4B
NRIP1	GAPDHP64
ASCL1	MAP7D1
GATA1	FAM53B-AS1
IRF1	MED13
MYH11	B4GALT2
RUNX3	HCG20
ZNF263	AFF1
ETS1	MRPL36
MAZ	AIDA
HCFC1	ZNF217
BCOR	LBH
CTCF	FAM181A
MXI1::CLEC5A	HNRNPA1
STAG1	ALPK2
LMO2	GOLPH3
RAD21	RNA5SP392
SPI1	PTPN9
RBBP5	NYAP1
MYH11	TRIM8
TFAP4	CSRP1
KLF3	NPW
TCF7L2	DCST1
SREBF1	ZBTB40
ATF1	TNFAIP8
MAX	UCK1
CREBBP	CCT5
ESR1	N4BP3
RUNX1T1	RNU2-59P
PHF8	RN7SL385P
ATF1	ZNF653
E2F6	MPV17
STAG1	RMDN2
RAD21	MIR5187
BRD2	IRF9
NR2F2	SNORA6
EP300	TRMT5
RUNX3	AIFM1
NFE2	ASIC3
KLF5	HAUS8
KLF9	TRANK1
KDM4C	MAD2L2
CTCF	SPART-AS1
L3MBTL2	FKBP5
IRF1	RPL7P60
SMARCA4	ERGIC1
YY1	PRKCZ
YY1	MIR6884
BACH2	MINDY1
GATA1	RPS15AP10
CREB1	MIR4292
POLR2A	COX7A2P1
JUND	DQX1
TFAP2A	FALEC
TBP	DKK2
EBF1	NPBWR2
GATA1	LAMTOR1
WDR5	PHF3
RBBP5	SNHG7
NFIC	EXD3
CHD1	RFC2
FLI1	TNNI1
ARNTL	YPEL5
MYH11	LCK
BCL3	DNASE1L2
MED12	MIR4504
KDM4C	CDSN
FOXA2	PRRX2
ZEB1	ZNF696
REL	BCL2L1
LMNB1	MRPL15
CEBPB	MEFV
KDM5B	TGFB3
BHLHE40	SPATC1L
TBL1X	TTC7B
E2F1	MIR4999
GATA3	MIR3925
NR5A2	TIGD5
GLYR1	NRAS
SMARCB1	SEMA4B
CTCF	HLA-DOB
CBX8	SUMO2
IRF1	MT-TP
ZBTB7A	CAMK2G
EP300	SYNE1-AS1
FOXA1	MIR6889
JMJD6	MVB12A
SP1	MIR6822
PGR	RNF215
CDK9	MIR4443
MYH11	RMDN2
BHLHE40	PSMB10
TFAP4	ERAL1
NOTCH1	HIGD1AP9
JUN	ERCC2
GRHL2	TNFSF10
ZNF384	PRR13
KLF4	HNRNPA1P41
CREBBP	KLHDC2
CEBPB	BMP1
ZNF384	FDPS
RUNX1T1	MIR6847
WDR5	CTSF
KDM5B	NCOA2
ATF4	CEP57
NRIP1	SLC25A13
MAZ	REN
HDAC2	DEPDC1
MAZ	FKRP
KLF9	OAT
KDM4A	TBC1D10B
NFYB	MON1A
PGR	UBC
GATA1	MPZL2
CEBPD	LINC00240
KLF9	LMAN1L
HDAC2	IGSF8
BHLHE40	ACOT7
E2F1	HPCAL4
HDAC2	MYADML2
WDR5	DISP2
CDK9	SEMA4A
KLF5	COX6B2
IRF1	NDUFV1
POU3F2	PPFIBP2
SREBF2	DDN-AS1
FOS	LRRC75A
KLF9	TCTE1
SPI1	ADAD2
MXI1::CLEC5A	TP53RK
NRF1	MAST3
TCF3	TEC
GTF2I	CHRNB2
GATA3	RAD51B
FLI1	SLC39A7
ELK3	PRPF8
STAG1	PLA2R1
CTCF	TNFRSF14-AS1
E2F7	SULT2B1
TCF12	ARHGAP10
PPARG	STAT5B
HNF1A	SCML1
FOXM1	CD59
FOS	MAP4
KDM4C	PAX8-AS1
GABPA	SLC34A3
ZNF92	TSPAN18
SAP30	TMEM131
IRF1	DNAJB4
EBF1	RBM20
EGR3	UBE2M
RYBP	RNU6-485P
SIRT6	SNRPGP19
BRD4	SNORD26
ZBTB7A	NEDD8
WDR5	TEX9
FOXA2	RNU6-1154P
POU2F1	PSAP
CEBPB	RAPGEF6
CEBPB	CTTNBP2NL
MBD2	CA9
GRHL2	EPHA10
ZNF263	WDR45BP1
HES1	USP34
EGR2	PTMS
BRD4	LEMD1-AS1
CREBBP	TMEM222
EBF1	FBXL17
NOTCH1	RBM4B
FOXO4	SLC37A3
E2F1	PI4KA
KLF5	ALPL
MEF2A	LARP1P1
UBTF	BCOR
LMO2	LINC00674
SMARCB1	MIR22HG
MAZ	EPB41L2
YY1	RAB3D
MAX	NXT2
BRCA1	ZBTB45
MEF2A	VCP
TCF3	UBA3
KLF4	MAP1A
CDK9	HK1
SIN3A	RNASE7
PBX1	RN7SL541P
MED12	SLC45A4
STAG1	MSH5
FLI1	DPEP3
CAMTA2	CIRBP-AS1
GATA1	RPL9P3
TCF3	CUEDC2
EPAS1	HMGB3P22
ZNF384	GALT
CBX3	R3HDM4
HOXB13	PRR5L
ASCL1	ABTB1
ZNF263	ISM1
FOXA1	ARID1A
TCF3	CAPN1
KLF5	RPS10P7
MED12	SCAF1
PBX3	LATS2
MYH11	BBX
RBBP5	CCDC83
ERG	KIAA0513
CDK9	DENND4C
ATF3	GALNT3
NRIP1	AAK1
EP300	DUTP6
SMC1A	FBXO28
NFKB1	RASGRP2
LMNB1	TSN
ZNF263	RAB11FIP4
MAX	C16orf92
GABPA	BAZ1A
NFYB	CD82
IRF1	KDM8
CEBPB	SLC25A46
ESR1	NACC2
E2F7	ZMYND10-AS1
RNF2	RHPN1-AS1
MXI1::CLEC5A	EPB41
GATA4	F11R
MYH11	PCGF1
HNF4A	TNR
TCF4	MPDU1-AS1
ETS2	EVPL
WDR5	MIR6826
EBF1	PTPRM
E2F6	BRF1
AHR	ZNRF4
MAZ	FAM81A
KLF5	ITGB1BP1
CEBPB	RAB11B
E2F2	CRIM1-DT
POU3F3	WNT2B
SMARCC1	SMCR2
BCOR	ZNF331
JUN	LYPD6
RNF2	MIR6865
GMEB2	C5orf24
SPI1	RNA5SP40
FLI1	KLHL28
NFYB	TOM1L2
NR2F2	GALT
MYC	STEAP1B-AS1
IRF4	GALNT6
BRD4	RNU5E-6P
BCL6	PCID2
KLF1	ZMIZ2
AR	MRPS6
BRD4	SNORD22
TAF3	NAV1
EP300	RCCD1
KLF12	MIR324
KDM4C	TMEM50B
KLF10	CUL4A
SPI1	SLC1A3
RNF2	AK2
HDAC1	WFDC3
FOXA1	TBC1D2
SMC3	TMEM231
HEY1	NTRK1
MYB	LPP
NR2F2	ALKBH5
ETS2	PYGO2
CEBPA	TNS1
MAX	MIR4750
E2F6	PRDX3P1
BRD4	CLIP3
AR	CAMSAP1
TCF3	KLHL36
NFIC	TLR1
MYH11	EOGT
FOSL2	ANKRD33B-AS1
NFATC1	SNRPD2
E2F7	NPTN
FOXA2	ENAH
VEZF1	SPRY4
ETS1	RNU6-940P
RUNX3	BRSK1
PBX1	MIR7850
NIPBL	TSPAN15
NANOG	SLC38A3
KLF4	MASP2
MYC	LINC00668
IRF1	DMTF1
SRC	TIMM50
AR	ZKSCAN1
MAZ	BCDIN3D
E2F1	TRIM69
NOTCH1	KCMF1
CEBPB	GSK3B
TBP	RPL23
POLR2A	NTHL1
EZH1	RUFY2
CEBPA	NXF1
FOXD3	OR5H1
ETS1	NUCB1
CDK9	SCARF2
POLR2A	SNX15
SAP30	TEAD3
BRD4	WAC-AS1
IRF1	HCFC2
FOXA1	PRSS48
BARX2	PHF5A
NOTCH1	RAD18
MEIS1	OR51G2
FOXP1	MIR1260B
STAT4	C3orf18
MED12	BCRP8
EP300	GNPTAB
MAZ	SLU7
BCL6	PELP1
STAG1	OR7E161P
JUN	PPWD1
HDAC2	FUCA2
STAT2	DAPP1
ZNF143	S100A16
EGR1	PRR5-ARHGAP8
BRD4	C15orf40
ATF2	NFKBIE
NOTCH1	SYS1-DBNDD2
FOXA1	RNU2-31P
EP300	MT-TP
KLF4	ANKRD44-IT1
FOSL1	IMPDH1P10
EP300	SLC25A24
EP300	DNAH17
CREB1	CCDC57
GRHL2	EPB41L4A
HDAC1	LINC00523
EGR1	NAALADL1
ERG	TMEM106B
KLF1	ZMYM3
ZEB1	TRAF7
TFAP4	CLINT1
MAZ	TRIM25
NR2F2	HMGN1P9
MYOD1	PCYOX1L
FOSL2	BBC3
EP300	MAP3K14-AS1
BRD4	UBB
RELB	ZPBP2
E2F1	PCMTD1
E2F6	FOXL3
GABPA	MPL
E2F1	MIIP
TEAD4	CLIC4
ONECUT1	SEPSECS
NFIC	RNU5E-1
MYB	AIFM2
FOXA2	PFKM
BRD2	SIAH2-AS1
ZEB1	PXYLP1
TFAP2A	UBE2R2-AS1
CREB1	DNAJC9-AS1
ATF6	RNF40
IRF4	PPP1R8
TCF4	RARG
CHD1	ABHD16A
RNF2	EIF2B1
FOSL2	TIMM44
KDM4C	ABHD8
MYC	SOX21
KLF1	MOSPD3
E2F6	RN7SL416P
IRF1	VIL1
MAX	TBCC
KLF1	MIR6872
NFYA	L3MBTL1
FLI1	MYLK2
NIPBL	PDLIM1
EP300	LACTB2
EBF1	SLC16A6P1
IRF1	EAF1
GATA1	CREB1
MAX	PCMT1
BRD2	TSPY26P
JUND	RNU6-390P
GABPA	GTF2A2
UBTF	UBA2
EZH2	NEUROD2
BRD4	GALE
MAZ	DNAL4
E2F1	MTRF1
KLF9	MRPL10
HDAC1	RIMKLB
MYB	CTDSP1
FOXP1	G3BP1
GATA1	SGK1
BCL11A	EEF2K
ESR1	GSE1
KLF5	CLPP
NFIC	TET2
HCFC1	PPIE
TFAP2C	STX16
LMNB1	RGS10
CDK9	FAM89A
TCF12	ACBD3
RFX2	PLD6
NFIC	MIR6886
CBFB	NR4A1
HDAC2	FNBP4
CREBBP	CDC37L1
FOXP1	ZNF526
FLI1	RN7SL357P
ESR1	TMEM127
CEBPA	SOS1
HNF4A	MXI1
GRHL3	MIR4304
ATF3	TLR12P
FOXA2	SETD5
E2F4	APIP
SETDB1	RN7SL813P
HDAC1	RPL13P2
SMC1A	CASZ1
SP1	RN7SL842P
MAZ	POLE
BCL3	RPS11
ASCL1	FBXL15
ATF3	TNS3
SUMO2	SRP68
BACH2	ANXA6
ZNF384	KPTN
TCF3	PAQR6
RUNX1T1	SEC23IP
KLF4	MEFV
FLI1	LINC00920
EWSR1	DPM3
DUX4	LAMB2
BRD2	NMRAL1
DDX5	DNASE2
SMC3	FXYD3
EP300	MIB1
ATF3	CELF5
KDM4C	RN7SL652P
PBX1	LINC00471
LMO2	CDC42EP1
KLF12	NTRK1
IRF1	POMK
TAF7	NEK4
POLR2A	DPPA2P2
HDAC1	MIF4GD
TCF3	EXOC3L4
GRHL2	CDC42EP1
ZBTB7A	TULP2
HCFC1	ALDH16A1
KLF9	MRPL33
BPTF	ARGLU1
ETV1	CSNK2A1
CBFB	SUZ12P1
CDK9	HEY1
KAT5	GRK6
JUND	MIR4756
HDAC2	ACP2
RAD21	AP1B1
MAX	ATP13A3-DT
PPARG	ICAM1
SMARCC1	SLFN5
POU2F1	MFSD12
FLI1	RN7SL708P
PBX3	MDK
ETS1	DRAM2
TOPORS	ANKRD9
FOXO3	VAC14-AS1
HNF4A	ZNF214
SAP30	SNORD69
MAX	PDCD6-AHRR
ETV1	SLC2A1
TFAP4	ZMYND10-AS1
HDAC1	FAH
CTCF	ATXN7L3
KDM4C	TET1
MYH11	LACTB
MEIS1	STK3
BRD2	CGB7
E2F4	MIR141
WDR5	SGSM3
LMNB1	TIMM44
BRD2	SCARNA13
E2F2	CFAP57
HDAC2	PERM1
HDAC1	SEC24C
VEZF1	RNY3
KLF5	IL11
E2F1	RNA5SP392
NFIC	OLFML2A
SMC1A	TXNRD1
CDK9	RPS27P25
MXI1	HIP1
SPIB	MIR6753
FOSL2	FOXK1
FOXP1	MTND2P11
SMC1A	ASPSCR1
BCOR	MIR152
CHD1	MCL1
JUND	REPIN1
FOSL1	LMCD1-AS1
ZNF92	MIIP
E2F6	CHMP6
VEZF1	UBL3
BCOR	LNX2
HDAC1	GABPB1
FLI1	MYO7B
KLF5	MRPS12
ZIC2	PITX1-AS1
HDAC1	ZNF644
FOXA2	FERMT3
SP2	C16orf92
KLF9	BAIAP2
MAZ	NKD1
GRHL3	WDR18
E2F1	ARHGAP6
NCOR2	RNA5SP74
KLF4	CNTROB
ETV1	FBXL5
HCFC1	AKAP8L
YY1	JSRP1
WDR5	BOLA1
CTCF	ARHGAP35
NFE2	HCFC1
SMARCB1	HELZ
KDM5B	ISOC2
MAZ	ZNF483
FLI1	LRFN3
CTCF	PCSK2
BRD2	HCG17
SPI1	RNU6-487P
FOXA1	TTC19
DDX5	MIR1306
GTF3C2	RPL7L1
SPI1	ATG4B
SMC3	RN7SL470P
MXI1	ESYT1
TCF21	MIR6824
GATA1	GLIPR1L1
FLI1	CACNA1F
SPI1	RNU4-60P
NIPBL	LINC00484
EP300	MUC2
ETS1	POU5F1
FOXO3	GAPVD1
FLI1	MORN5
EZH1	TTC3
PAX5	POLDIP3
EBF1	MFAP4
LMNB1	RNU6-558P
EGR1	SMARCA4
BRD4	MAP6
TAF1	MIR24-2
MAZ	TIPARP
E2F7	RARA-AS1
ATF3	NOP56
MYB	G3BP1
CTCF	SNORD14D
ERG	LINC00616
CDK9	MRI1
CEBPB	JMJD6
KLF5	DNMT3B
STAG1	KCNK5
TBL1X	ZNF771
CREBBP	CLCN3
LMNB1	MRPL14
KDM5B	RN7SL574P
JUNB	PRKAR1B
ATF3	S100Z
AHR	ABHD12B
STAG1	MEPCE
NFKB2	OTULIN-DT
FLI1	MIRLET7G
MAX	CT45A10
SPI1	IL1RL2
ATF7	PTPN2
KLF9	ALAD
EWSR1	TNFRSF18
SP1	SLBP
PGR	WDR93
MAX	DRG1
FOXA1	OPN5
IRF7	KCNH5
HDAC1	MIR3621
LMNB1	POLI
FLI1	NEK2
PPARG	ARSA
TBP	C1QL3
RBL2	LRCH4
BRD4	SNX4
TAF1	PLD2
CDK9	SNORD123
EGR1	IRGC
TAF1	INAFM1
DDX5	ZNF561-AS1
AHR	NAA38
CREB1	ZNF596
PBX1	PIDD1
CHD1	TUBG1
TFAP2C	RANGAP1
POLR2A	ADD1
SPI1	LRCOL1
NFE2L1	PRAF2
NCOR2	MYCN
ATF3	DLG1
KLF9	MIR3925
USF2	MIR212
UBTF	SLC52A2
FOXA2	ARHGEF19
ASCL1	ZP1
ARNT	FHOD3
RCOR1	EFR3A
EGR1	PIH1D1
CBX8	TAOK3
PAX5	MIR6848
CBX3	KBTBD3
BRD2	PABPN1
PBX3	NUMB
POU2F1	TRAPPC5
SPI1	IL3
USF2	CFAP57
TBP	FNDC3B
SPI1	KIF7
MED12	FTH1
JUND	TUBG2
ARNT	UBE2S
EP300	NCOA5
TCF21	NYNRIN
GTF2B	CHD8
RARA	AKR1B1
BRD4	HYOU1
EP300	RNU6-1272P
KDM4A	BCL6B
E2F1	SLC39A11
CBFB	PUS7
STAG1	GKAP1
ZNF263	MIR658
TBP	DAG1
MED12	TMEM179B
LMNB1	LIMS1
CBX8	NMRAL1
E2F1	SPOP
SPI1	DONSON
MAX	ADAM22
HDAC1	URGCP-MRPS24
SMC1A	CCNL1
GATA3	NTN4
SPI1	RNU6-450P
DDX5	BAZ1A
ERG	IQCJ-SCHIP1-AS1
CEBPA	APBB2
YY1	MADD
GRHL3	CCDC88B
NFIC	RN7SL546P
GATA4	EMC6
ZNF263	RND2
SMARCB1	RGS19
MYOD1	STXBP5-AS1
GATA1	RNU6-187P
ATF3	PLXNA4
STAT3	RPS8
EBF1	ERLIN1
PBX1	TOM1
MAZ	S1PR4
MTA3	NT5E
VEZF1	PDLIM1P1
BRD2	CD46
RUNX3	TP53RK
CREB1	FARSB
FOSL2	MIR32
CEBPA	RNU4-25P
KDM4C	SOX18
DDX5	YEATS2
HDAC2	SH3BP2
MYB	MMAB
MYB	RPS6KA1
E2F1	VPS37D
VEZF1	CHD3
BRD2	ENAH
HDAC2	SYS1-DBNDD2
EBF1	COL16A1
FOXA1	ZNF517
JUN	NFE2L3
ZEB1	SNRPGP19
GATA4	MIR4258
BRD2	REM2
PBX1	RNU6-476P
MYH11	TIMM8BP1
MXI1	EXOSC4
LMNB1	GNL2
MITF	BOD1
HDAC1	ZNF529-AS1
POU2F1	MIR5691
MAZ	PTCH1
MAZ	KANK2
KDM4C	PEX5
SPI1	RNU4-83P
JUN	ERI1
BRD4	THOC1
NR2F2	RNU6ATAC18P
SUMO2/SUMO3	CD34
MEF2A	WNT10B
IRF1	RPSA
CEBPA	CDC34
MYH11	NAGLU
BRD4	RRAS2
EP300	SLC12A2
CEBPB	TDP1
CBX8	VPS8
CBX3	POGZ
PHF8	C15orf61
TCF3	FGF18
TCF12	SRRM5
CEBPB	KLHL8
KDM5B	LAPTM4B
MAX	HINT1
FOXO6	CAT
BCL3	PARP6
MYOD1	DEF8
CREB1	KDM8
LMNB1	SOX6
MAZ	INTS6-AS1
ZNF384	SH3GLB1
EBF1	COL7A1
IRF1	TRIM27
BHLHE40	ASB9P1
FLI1	RPF1
SUMO2	THAP1
SUMO2	DEPTOR
CTCF	LINC01094
EBF1	LYRM4
KDM4C	MIR7-3
ZNF263	RN7SL153P
CBFB	TNRC6C
CEBPB	PACS2
RNF2	RUVBL1
HOXA9	OR2C1
TCF3	DCHS1
ERG	PDGFD
BRD4	IQCE
CBX3	LCK
BRCA1	THAP5
HNF4G	ORC2
SPI1	CDR2L
CTCFL	SEMA5B
E2F7	F3
PBX1	MEF2D
MNT	FKBP5
ETS1	RAD54B
SAP30	TMEM210
TAF1	HOOK2
EP300	CCNG1
CREB1	CCL20
SP4	HMGB2P1
ELK3	SRGAP3
SPIB	MGAT4B
MYB	DNMBP
EGR1	RNU6ATAC
HDAC2	ABCB9
PBX3	YY1
MED12	ARFGAP3
FOSL2	MIR608
RBL2	GANAB
GRHL2	NCKAP1
BCOR	RNU1-91P
PBX1	PTTG1IP
CBX8	ATXN2
HEY1	PHACTR2
GRHL2	LINC01270
TCF3	CNPY1
RBBP5	ATPAF1
POLR2A	POLM
SRF	TEX261
SMC3	RNU6-45P
POLR2A	PXN-AS1
KLF5	GINS4
MYOD1	IL6
BRD3	ACTL10
ATF3	ACOX3
ZBTB7A	MIR3178
TEAD4	JAGN1
KLF5	CBX6
ERG	TNRC6A
GTF2I	SCNN1G
E2F3	H3-3A
RORA	CAMTA1
BRD2	POMT1
NOTCH1	RNA5SP203
BRD2	OLFM2
IRF1	RNU6-476P
RNF2	MIR6884
ZEB1	ABCC5-AS1
MAZ	RPL7A
TAF3	CTSW
SAP30	RASAL2
FOXA1	MCM9
RXRG	SMAD3
CEBPA	XRCC4
SMARCC1	TMEM205
ZNF384	DDR1
PGR	LMCD1-AS1
SMARCA4	MIAT
HDAC1	CPB2-AS1
GMEB2	CHMP1A
NR2F2	PES1
GABPA	SSRP1
ATF2	ZNF367
ELF1	TMEM70
RFX3	RFX2
GTF2B	BFSP1
BRD4	USP21
BRD4	SHMT1P1
MXI1::CLEC5A	LINC00570
E2F3	ZBTB45
YY1	MIR6079
MEIS1	DPH3P1
E2F2	CSTF2T
PRAME	RINL
E2F6	ME1
RBPJ	PHB2
ETS1	RPS20
HDAC1	TSPAN18
CREBBP	FNBP1P1
MYH11	PSMD9
GTF2I	KCND1
ATF3	DCAF13
TAF3	MPZ
MXI1	ANKRD65
GMEB1	SNORD58B
